visual_id,x,y,width,height,measure,client,layout_lane,filter_context,description,source_class,upstream_tables,audit_note
ec5c5d3f42e7fe84874b,4947.5,1910.0,255.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

1948415612a91ac137bd,6501.667,1910.0,126.667,53.333,D-E-SCA-P.I,Scania,Scania — estoque/logística,,Dias de Estoque Scania Pintura Input,BANCO/CÁLCULO,SCANIA,

08b971d13059b54717d9,8153.333,1910.0,150.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

1b2fc7c84263ec24ebef,5503.333,1911.667,255.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

b44035c3e1d6434022cb,580.0,1913.333,330.0,60.0,Q-D-SCA,Scania,Scania — estoque/logística,MP[Cliente]=Scania,Quantidade de Dias Scania,BANCO/CÁLCULO,DAF SLITTERS; FH; Lotes; SCANIA; VM,

fa7897165dcaf1dd5874,1858.333,1913.333,123.333,55.0,E-P-D-SCA-M3,Scania,Scania — estoque/logística,,Estoque em Peças em Dias Scania Mesa 3,BANCO/CÁLCULO,Calendar; SCANIA; Segregacao,

05785ece2dae0c091478,1984.0,1968.0,124.0,54.0,T-M3,DAF,DAF — tempo de processo,Calendar[Date],Tempo Mesa 3,CONSTANTE ou medida derivada,,

5b967885da955681ef19,1548.0,1970.0,124.0,54.0,T-RF3,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Rollformer 3,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

9bd9364c359fd65eb06e,2460.0,1970.0,206.0,54.0,T-B1,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Beatty 1,MISTO: banco + parâmetro,Máquinas; VM,

97dc93685bac91f71d36,3167.5,1970.0,292.5,52.5,T-B1,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Beatty 1,MISTO: banco + parâmetro,Máquinas; VM,

857b388a96507d4240c2,7355.0,1970.0,125.0,55.0,T-DAF-REB,DAF,DAF — tempo de processo,Calendar[Date],Tempo de DAF Rebitagem,MISTO: banco + parâmetro,DAF; DAF SLITTERS; Máquinas,

c62f56809a2e230c8af9,8036.667,1973.333,126.667,53.333,T-STJ,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

9248cde03936178aab18,4805.0,1975.0,690.0,52.5,T-CNC,DAF,DAF — tempo de processo,Calendar[Date],Tempo de CNC,MISTO: banco + parâmetro,DAF; DAF SLITTERS; Máquinas,

3475893b3eb183590612,6628.333,1975.0,126.667,53.333,T-LPP2,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Pintura,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

d0323902c707e4752e94,8468.333,1975.0,126.667,53.333,T-STJ,DAF,DAF — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

de6d2997ef22c6cde3b5,2662.0,2012.0,500.0,70.0,D-E-DAF-B,DAF,DAF — estoque/logística,,Dias de Estoque DAF Beattys,BANCO/CÁLCULO,DAF; DAF SLITTERS,

6b48133a63a9a883952a,364.0,2016.0,276.0,60.0,T-T,DAF,DAF — estoque/logística,MP[Cliente]=FH,Tempo de Transporte em Dias,CONSTANTE ou medida derivada,,

de7de5307647ad82eea4,1294.0,2018.0,256.0,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

f7baf001ca4a8eb750ee,575.0,2021.667,328.333,60.0,Q-D-DAF,DAF,DAF — estoque/logística,MP[Cliente]=DAF,Quantidade de Dias DAF,BANCO/CÁLCULO,DAF; DAF SLITTERS; FH; Lotes; SCANIA; VM,

77ede574aad99fa95193,1858.333,2025.0,123.333,55.0,E-P-D-DAF-M3,DAF,DAF — estoque/logística,,Estoque em Peças em Dias DAF Mesa 3,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; Segregacao,

3694ec78f08a96a64cd2,1670.0,2026.667,143.333,53.333,E-P-D-DAF-RF3,DAF,DAF — estoque/logística,Operações[Dados ]=Roll Former 3,Estoque em Peças em Dias na DAF Pós Rollformer 3,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS,

